"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"PC50","Con",0.963,0.963,0.916,0.876,0.916,0.876
"PC50","InCon",0.968,0.968,0.932,0.912,0.932,0.912
"MC","Con",0.918,0.918,0.881,0.863,0.881,0.863
"MC","Con",0.961,0.961,0.924,0.907,0.924,0.907
"PC50","InCon",0.829,0.829,0.792,0.778,0.792,0.778
"MC","Con",0.817,0.817,0.781,0.767,0.781,0.767
"PC50","Con",0.756,0.756,0.72,0.707,0.72,0.707
"MC","Con",0.847,0.847,0.808,0.79,0.808,0.79
"PC50","Con",0.902,0.902,0.859,0.825,0.859,0.825
"MC","Con",0.892,0.892,0.85,0.828,0.85,0.828
"MC","Con",1.042,1.042,0.968,0.95,0.968,0.95
"MC","Con",0.786,0.786,0.729,0.702,0.729,0.702
"MC","InCon",1.006,1.006,0.971,0.958,0.971,0.958
"MC","Con",1.057,1.057,1.019,0.995,1.019,0.995
"MC","Con",0.741,0.741,0.701,0.636,0.701,0.636
"PC50","InCon",1.037,1.037,0.998,0.976,0.998,0.976
"MC","InCon",1.18,1.18,1.141,1.122,1.141,1.122
"MC","Con",0.982,0.982,0.944,0.93,0.944,0.93
"PC50","InCon",1.008,1.008,0.969,0.948,0.969,0.948
"MC","Con",0.959,0.959,0.922,0.902,0.922,0.902
"PC50","Con",0.888,0.888,0.842,0.813,0.842,0.813
"MC","Con",1.015,1.015,0.973,0.951,0.973,0.951
"MC","Con",0.788,0.788,0.745,0.725,0.745,0.725
"MC","InCon",0.942,0.942,0.901,0.829,0.901,0.829
"MC","Con",0.811,0.811,0.777,0.755,0.777,0.755
"MC","InCon",0.861,0.861,0.822,0.801,0.822,0.801
"MC","InCon",0.885,0.885,0.842,0.816,0.842,0.816
"MC","Con",0.75,0.75,0.709,0.689,0.709,0.689
"MC","Con",0.819,0.819,0.78,0.76,0.78,0.76
"PC50","Con",0.796,0.796,0.761,0.746,0.761,0.746
"MC","Con",0.819,0.819,0.778,0.758,0.778,0.758
"MC","Con",0.8,0.8,0.755,0.727,0.755,0.727
"PC50","InCon",0.882,0.882,0.847,0.82,0.847,0.82
"MC","InCon",1.547,1.547,1.51,1.498,1.51,1.498
"PC50","InCon",0.961,0.961,0.925,0.907,0.925,0.907
"PC50","Con",0.852,0.852,0.815,0.785,0.815,0.785
"MC","InCon",1.16,1.16,1.106,1.084,1.106,1.084
"PC50","InCon",0.862,0.862,0.827,0.811,0.827,0.811
"MC","Con",0.829,0.829,0.783,0.761,0.783,0.761
"MC","Con",0.79,0.79,0.743,0.719,0.743,0.719
"MC","InCon",0.993,0.993,0.952,0.931,0.952,0.931
"MC","Con",0.742,0.742,0.702,0.682,0.702,0.682
"MC","Con",0.885,0.885,0.737,0.706,0.737,0.706
"PC50","Con",0.805,0.805,0.763,0.722,0.763,0.722
"MC","Con",0.75,0.75,0.713,0.696,0.713,0.696
"MC","Con",0.889,0.889,0.853,0.841,0.853,0.841
"PC50","Con",0.688,0.688,0.643,0.623,0.643,0.623
"MC","Con",0.795,0.795,0.747,0.723,0.747,0.723
"PC50","InCon",0.902,0.902,0.867,0.822,0.867,0.822
"MC","Con",0.877,0.877,0.842,0.83,0.842,0.83
"MC","Con",0.728,0.728,0.694,0.679,0.694,0.679
"MC","Con",0.907,0.907,0.87,0.855,0.87,0.855
"MC","Con",1.05,1.05,1.012,0.995,1.012,0.995
"PC50","Con",0.892,0.892,0.851,0.804,0.851,0.804
"MC","Con",0.89,0.89,0.808,0.782,0.808,0.782
"MC","Con",0.746,0.746,0.704,0.674,0.704,0.674
"MC","Con",0.742,0.742,0.701,0.666,0.701,0.666
"PC50","InCon",0.836,0.836,0.802,0.791,0.802,0.791
"PC50","InCon",0.976,0.976,0.94,0.848,0.94,0.848
"MC","InCon",0.849,0.849,0.802,0.777,0.802,0.777
"MC","InCon",0.986,0.986,0.948,0.932,0.948,0.932
"MC","Con",1.028,1.028,0.98,0.883,0.98,0.883
"MC","Con",0.911,0.911,0.867,0.846,0.867,0.846
"PC50","InCon",1.063,1.063,0.97,0.953,0.97,0.953
"MC","InCon",0.87,0.87,0.833,0.814,0.833,0.814
"PC50","InCon",0.975,0.975,0.902,0.87,0.902,0.87
"PC50","Con",0.906,0.906,0.871,0.856,0.871,0.856
"MC","Con",0.885,0.885,0.847,0.827,0.847,0.827
"PC50","Con",0.868,0.868,0.804,0.783,0.804,0.783
"PC50","Con",0.881,0.881,0.798,0.771,0.798,0.771
"MC","InCon",0.882,0.882,0.849,0.837,0.849,0.837
"MC","Con",0.895,0.895,0.858,0.841,0.858,0.841
"MC","Con",1.078,1.078,1.044,1.035,1.044,1.035
"MC","InCon",1.067,1.067,1.028,1.007,1.028,1.007
"MC","Con",0.944,0.943,0.904,0.871,0.904,0.871
"MC","InCon",1.068,1.068,1.022,0.998,1.022,0.998
"MC","InCon",0.923,0.923,0.884,0.856,0.884,0.856
"PC50","InCon",0.969,0.969,0.863,0.835,0.863,0.835
"MC","Con",0.897,0.897,0.853,0.83,0.853,0.83
"PC50","InCon",0.843,0.843,0.807,0.793,0.807,0.793
"MC","Con",0.827,0.827,0.789,0.772,0.789,0.772
"PC50","Con",0.899,0.899,0.867,0.856,0.867,0.856
"MC","InCon",0.941,0.941,0.893,0.863,0.893,0.863
"PC50","Con",1.042,1.042,0.98,0.94,0.98,0.94
"MC","Con",0.985,0.985,0.942,0.923,0.942,0.923
"MC","Con",0.876,0.876,0.838,0.823,0.838,0.823
"PC50","Con",0.904,0.904,0.871,0.861,0.871,0.861
"MC","Con",0.898,0.898,0.86,0.842,0.86,0.842
"PC50","InCon",0.965,0.965,0.908,0.861,0.908,0.861
"MC","Con",0.86,0.86,0.803,0.778,0.803,0.778
"PC50","Con",0.818,0.818,0.782,0.768,0.782,0.768
"MC","Con",0.809,0.809,0.772,0.755,0.772,0.755
"MC","Con",0.732,0.732,0.693,0.671,0.693,0.671
"MC","InCon",1.058,1.058,1.018,0.999,1.018,0.999
"MC","Con",0.946,0.946,0.911,0.898,0.911,0.898
"MC","Con",0.954,0.954,0.918,0.901,0.918,0.901
"MC","Con",1.086,1.086,1.047,1.026,1.047,1.026
"PC50","InCon",0.905,0.905,0.874,0.862,0.874,0.862
"MC","Con",1.023,1.023,0.988,0.972,0.988,0.972
"PC50","InCon",0.865,0.865,0.829,0.814,0.829,0.814
"MC","InCon",0.992,0.992,0.957,0.943,0.957,0.943
"PC50","Con",0.935,0.935,0.889,0.872,0.889,0.872
"MC","Con",0.879,0.879,0.845,0.834,0.845,0.834
"MC","Con",0.817,0.817,0.773,0.754,0.773,0.754
"PC50","InCon",0.981,0.981,0.941,0.916,0.941,0.916
"MC","Con",0.966,0.966,0.928,0.908,0.928,0.908
"MC","Con",0.958,0.958,0.893,0.809,0.893,0.809
"PC50","Con",0.884,0.884,0.806,0.788,0.806,0.788
"MC","InCon",0.946,0.946,0.906,0.874,0.906,0.874
"MC","Con",0.88,0.88,0.844,0.829,0.844,0.829
"PC50","InCon",1.106,1.107,1.009,0.941,1.009,0.941
"PC50","InCon",0.889,0.889,0.851,0.748,0.851,0.748
"PC50","Con",0.737,0.737,0.703,0.687,0.703,0.687
"MC","Con",0.877,0.877,0.792,0.767,0.792,0.767
"MC","InCon",0.973,0.973,0.936,0.922,0.936,0.922
"MC","Con",0.734,0.734,0.698,0.683,0.698,0.683
"MC","Con",0.873,0.873,0.839,0.823,0.839,0.823
"MC","Con",0.8,0.8,0.76,0.71,0.76,0.71
"MC","Con",0.813,0.813,0.723,0.695,0.723,0.695
"MC","InCon",0.801,0.801,0.764,0.752,0.764,0.752
"MC","Con",1.062,1.062,1.01,0.986,1.01,0.986
"PC50","Con",0.7,0.7,0.664,0.647,0.664,0.647
"MC","Con",0.733,0.733,0.699,0.687,0.699,0.687
"PC50","InCon",0.801,0.801,0.767,0.759,0.767,0.759
"PC50","InCon",0.987,0.987,0.945,0.931,0.945,0.931
"MC","Con",0.733,0.733,0.698,0.688,0.698,0.688
"PC50","Con",0.804,0.804,0.714,0.697,0.714,0.697
"PC50","Con",0.712,0.712,0.679,0.67,0.679,0.67
"PC50","Con",0.721,0.721,0.653,0.627,0.653,0.627
"MC","Con",0.969,0.969,0.931,0.853,0.931,0.853
"MC","InCon",1.134,1.134,1.092,1.075,1.092,1.075
"MC","Con",1.15,1.15,1.101,1.071,1.101,1.071
"MC","Con",1.026,1.026,0.938,0.921,0.938,0.921
"MC","Con",1.073,1.073,0.937,0.887,0.937,0.887
"MC","InCon",1.167,1.167,0.879,0.859,0.879,0.859
"MC","Con",0.796,0.796,0.763,0.754,0.763,0.754
"MC","Con",0.89,0.89,0.851,0.829,0.851,0.829
"PC50","InCon",1.099,1.099,1.059,1.019,1.059,1.019
"MC","Con",0.894,0.894,0.855,0.84,0.855,0.84
"PC50","InCon",1.127,1.127,1.035,1.007,1.035,1.007
"MC","Con",0.893,0.893,0.859,0.846,0.859,0.846
"PC50","Con",1.055,1.055,0.945,0.902,0.945,0.902
"MC","Con",0.959,0.959,0.924,0.865,0.924,0.865
"MC","InCon",1.052,1.052,1.016,0.999,1.016,0.999
"MC","Con",1.26,1.26,1.225,1.18,1.225,1.18
"MC","Con",0.879,0.879,0.842,0.764,0.842,0.764
"MC","Con",0.869,0.869,0.787,0.765,0.787,0.765
"PC50","InCon",0.785,0.785,0.749,0.744,0.749,0.744
"MC","Con",0.724,0.724,0.685,0.649,0.685,0.649
"MC","Con",0.79,0.79,0.751,0.729,0.751,0.729
"PC50","Con",0.716,0.716,0.676,0.664,0.676,0.664
"MC","InCon",0.895,0.895,0.859,0.844,0.859,0.844
"PC50","Con",1.037,1.037,1.002,0.946,1.002,0.946
"MC","InCon",1.104,1.104,1.02,1.001,1.02,1.001
"MC","Con",1.054,1.054,1.018,1.003,1.018,1.003
"PC50","Con",0.69,0.69,0.655,0.642,0.655,0.642
"PC50","Con",0.752,0.752,0.711,0.696,0.711,0.696
"PC50","InCon",0.886,0.886,0.85,0.84,0.85,0.84
"MC","Con",1.046,1.046,1.013,1.001,1.013,1.001
"MC","Con",0.82,0.82,0.782,0.769,0.782,0.769
"MC","Con",0.671,0.671,0.631,0.617,0.631,0.617
"MC","InCon",1.12,1.12,1.085,1.042,1.085,1.042
"MC","Con",1.155,1.155,1.102,1.086,1.102,1.086
"MC","InCon",0.967,0.967,0.924,0.909,0.924,0.909
"MC","Con",0.984,0.984,0.942,0.858,0.942,0.858
"PC50","InCon",1.145,1.145,1.099,1.019,1.099,1.019
"MC","InCon",1.027,1.027,0.992,0.939,0.992,0.939
"MC","Con",0.886,0.886,0.848,0.833,0.848,0.833
"MC","Con",1.182,1.182,1.088,1.071,1.088,1.071
"PC50","InCon",1.033,1.033,0.999,0.99,0.999,0.99
"MC","InCon",1.032,1.032,0.995,0.927,0.995,0.927
"MC","Con",1.023,1.023,0.973,0.956,0.973,0.956
"PC50","InCon",0.888,0.888,0.85,0.834,0.85,0.834
"PC50","InCon",0.873,0.873,0.785,0.768,0.785,0.768
"MC","Con",1.121,1.121,1.087,1.073,1.087,1.073
"PC50","Con",0.949,0.949,0.907,0.856,0.907,0.856
"PC50","Con",1.125,1.125,1.09,1.074,1.09,1.074
"MC","Con",1.127,1.127,1.093,1.08,1.093,1.08
"MC","Con",1.504,1.504,1.427,1.396,1.427,1.396
"MC","Con",0.93,0.93,0.872,0.854,0.872,0.854
"PC50","Con",0.799,0.799,0.761,0.747,0.761,0.747
"PC50","Con",0.898,0.898,0.836,0.805,0.836,0.805
"MC","Con",0.95,0.95,0.913,0.846,0.913,0.846
"PC50","InCon",0.962,0.962,0.925,0.906,0.925,0.906
"MC","Con",0.855,0.855,0.778,0.761,0.778,0.761
"PC50","Con",1.03,1.03,0.994,0.95,0.994,0.95
"PC50","Con",0.966,0.966,0.928,0.914,0.928,0.914
"PC50","InCon",1.109,1.109,1.075,1.065,1.075,1.065
"MC","Con",0.818,0.818,0.756,0.74,0.756,0.74
"MC","Con",1.116,1.116,1.078,1.007,1.078,1.007
"PC50","InCon",0.813,0.813,0.778,0.766,0.778,0.766
"MC","Con",0.815,0.815,0.778,0.759,0.778,0.759
"MC","Con",0.801,0.801,0.765,0.751,0.765,0.751
"PC50","Con",0.718,0.718,0.68,0.646,0.68,0.646
"MC","InCon",0.875,0.875,0.84,0.797,0.84,0.797
"MC","InCon",0.9,0.9,0.861,0.844,0.861,0.844
"PC50","Con",0.876,0.876,0.831,0.8,0.831,0.8
"MC","InCon",1.026,1.026,0.941,0.925,0.941,0.925
"MC","Con",1.012,1.012,0.954,0.935,0.954,0.935
"MC","InCon",1.045,1.045,1.01,0.995,1.01,0.995
"MC","Con",0.964,0.964,0.864,0.786,0.864,0.786
"MC","Con",0.892,0.892,0.859,0.848,0.859,0.848
"MC","Con",0.804,0.804,0.77,0.747,0.77,0.747
"MC","Con",0.726,0.726,0.693,0.682,0.693,0.682
"MC","InCon",0.945,0.945,0.905,0.85,0.905,0.85
"MC","Con",1.018,1.018,0.943,0.922,0.943,0.922
"MC","Con",0.79,0.79,0.756,0.739,0.756,0.739
"PC50","InCon",1.113,1.113,1.013,0.997,1.013,0.997
"PC50","InCon",1.116,1.116,1.028,1.007,1.028,1.007
"MC","Con",1.024,1.024,0.974,0.927,0.974,0.927
"MC","Con",0.955,0.955,0.919,0.846,0.919,0.846
"MC","InCon",1.108,1.108,0.934,0.91,0.934,0.91
"PC50","InCon",0.974,0.974,0.935,0.92,0.935,0.92
"MC","Con",0.814,0.814,0.775,0.757,0.775,0.757
"MC","Con",1.318,1.318,1.282,1.233,1.282,1.233
"MC","Con",1.019,1.019,0.982,0.967,0.982,0.967
