"Procedure","RunNumberFilterValue","baselineBlockList","TextVar1","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","BAS1B1SamplingList","Stimuli","Number","Letter","Congruency","TaskCue","NumberResp","LetterResp","TestGroup","Incentive","n_Switch","n_Min1_Switch","LocVal","Location","CueColor","Color","ColorOrig","TrialType","ToBeIncentivized","ITI","ms","TRs","ShortenedISI","Correct","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","TargetSlide.OnsetDelay","TargetSlide.OnsetTime","TargetSlide.DurationError","TargetSlide.Duration","TargetSlide.StartTime","TargetSlide.OffsetTime","TargetSlide.FinishTime","TargetSlide.OffsetDelay","TargetSlide.RTTime","TargetSlide.ACC","TargetSlide.RT","TargetSlide.RESP","TargetSlide.CRESP","TrialACC","FeedbackSlide.OnsetDelay","FeedbackSlide.OnsetTime","FeedbackSlide.DurationError","FeedbackSlide.Duration","FeedbackSlide.StartTime","FeedbackSlide.OffsetTime","FeedbackSlide.FinishTime","FeedbackSlide.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","BAS1B2SamplingList","BAS1B3SamplingList","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E3","Odd","Vowel","Incongruent","Attend Number","2","1","?","?","1","0","?","?","Red","Black","Green","NonIncentive","1","3","4400","X","3600","2","22","458852","2","800","458832","458854","458855","24","6",459636,"1","300","458855","459637","459637","7","6","459936","2","500","459638","459938","459938","8","5","460435","3","4000","459938","460438","460438","8","5","464435","-5","3200","460438","467630","467630","0",466198,1,1763,"2","2","1","21","467651","2","800","467630","467653","467653","23","4","468434","-4","3600","467654","472030","472030","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2B","Even","Consonant","Incongruent","Attend Letter","1","2","?","?","1","1","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","2400","2","20","472050","2","800","472031","472052","472053","22","3",472833,"2","300","472053","472835","472835","5","3","473133","3","500","472836","473136","473136","6","3","473633","2","4000","473136","473635","473636","5","3","477633","-3","3200","473636","480830","480830","0",479763,1,2130,"2","2","1","19","480849","2","800","480830","480851","480851","21","2","481632","-2","2400","480852","484030","484030","0","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A","Even","Vowel","Congruent","Attend Letter","1","1","?","?","0","1","?","?","Red","Black","Black","NonIncentive","0","3","4400","X","3600","1","18","484048","2","800","484032","484050","484051","20","2",484832,"1","300","484051","484833","484833","3","2","485132","2","500","484834","485134","485134","4","1","485631","3","4000","485134","485634","485634","4","1","489631","-1","3200","485635","492830","492830","0",490960,1,1329,"1","1","1","17","492847","2","800","492830","492849","492850","19","0","493630","0","3600","492850","497230","497230","0","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5H","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","0","0","?","?","Red","Black","Black","NonIncentive","0","1","2000","X","1200","2","16","497246","2","800","497232","497248","497249","18","16",498046,"2","300","497249","498048","498048","18","16","498346","2","500","498048","498348","498349","18","16","498846","2","4000","498349","498848","498849","18","15","502845","-15","3200","498849","506030","506030","0",504853,1,2008,"2","2","1","15","506045","2","800","506030","506047","506047","17","15","506845","-15","1200","506048","508030","508030","0","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5H","Odd","Consonant","Congruent","Attend Number","2","2","?","?","1","0","?","?","Red","Black","Green","NonIncentive","1","1","2000","X","1200","2","15","508045","2","800","508032","508047","508047","17","14",508844,"2","300","508047","508846","508846","16","14","509144","3","500","508847","509147","509147","17","14","509644","2","4000","509147","509646","509647","16","14","513644","-14","3200","509647","516830","516830","0",515805,1,2161,"2","2","1","13","516843","2","800","516830","516845","516846","15","13","517643","-13","1200","516846","518830","518830","0","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","1","1","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","2400","2","13","518843","2","800","518832","518845","518845","15","13",519643,"1","300","518845","519644","519645","14","13","519943","2","500","519645","519945","519945","15","13","520443","2","4000","519945","520445","520445","15","12","524442","-12","3200","520446","527630","527630","0",525501,1,1059,"2","2","1","11","527641","3","800","527630","527644","527644","14","11","528441","-11","2400","527644","530830","530830","0","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3E","Odd","Vowel","Incongruent","Attend Letter","2","1","?","?","0","1","?","?","Red","Black","Green","NonIncentive","1","2","3200","X","2400","1","11","530841","2","800","530832","530843","530843","13","11",531641,"1","300","530844","531642","531643","12","11","531941","2","500","531643","531943","531944","13","11","532441","2","4000","531944","532443","532443","13","10","536440","-10","3200","532444","539630","539630","0",537414,1,974,"1","1","1","10","539640","2","800","539630","539642","539642","12","9","540439","-9","2400","539642","542830","542830","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A","Even","Vowel","Congruent","Attend Number","1","1","?","?","1","0","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","2400","1","9","542839","2","800","542832","542841","542842","11","9",543639,"2","300","542842","543641","543641","11","9","543939","3","500","543641","543942","543942","12","9","544439","2","4000","543942","544441","544441","11","8","548438","-8","3200","544442","551630","551630","0",549554,1,1116,"1","1","1","24","551654","3","800","551630","551657","551657","27","8","552438","-8","2400","551657","554830","554830","0","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E3","Odd","Vowel","Incongruent","Attend Number","2","1","?","?","0","1","?","?","Red","Black","Green","NonIncentive","1","1","2000","X","1200","2","24","554854","2","800","554832","554856","554856","26","7",555637,"2","300","554856","555639","555639","9","7","555937","2","500","555639","555939","555939","9","7","556437","2","4000","555940","556439","556439","9","6","560436","-6","3200","556440","563630","563630","0",561575,1,1139,"2","2","1","22","563652","3","800","563630","563655","563655","25","6","564436","-6","1200","563655","565630","565630","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A","Even","Vowel","Congruent","Attend Letter","1","1","?","?","1","0","?","?","Red","Black","Black","NonIncentive","0","3","4400","X","3600","1","22","565652","2","800","565632","565654","565655","24","5",566435,"2","300","565655","566437","566437","7","5","566735","2","500","566437","566737","566738","7","5","567235","2","4000","566738","567237","567238","7","5","571235","-5","3200","567238","574430","574430","0",572408,1,1173,"1","1","1","21","574451","2","800","574430","574453","574453","23","4","575234","-4","3600","574453","578830","578830","0","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","Even","Vowel","Congruent","Attend Number","1","1","?","?","1","1","?","?","Red","Black","Black","NonIncentive","0","3","4400","X","3600","1","20","578850","2","800","578832","578852","578853","22","3",579633,"2","300","578853","579635","579635","5","3","579933","2","500","579635","579935","579936","5","3","580433","2","4000","579936","580435","580436","5","2","584432","-2","3200","580436","587630","587630","0",585802,1,1370,"1","1","1","19","587649","2","800","587630","587651","587651","21","2","588432","-2","3600","587651","592030","592030","0","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"FixationGetReadyPROC","baseline1","11","?","baselineBlockList","2","39","18","592048","2","28400","592031","592050","592050","20","13","620443","3","1600","592051","620446","0","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E3","Odd","Vowel","Incongruent","Attend Letter","2","1","?","?","2","2","?","?","Red","Black","Green","NonIncentive","1","2","3200","X","2400","1","13","622043","2","800","620447","622045","622046","15","13",622843,"2","300","622046","622845","622845","15","13","623143","2","500","622845","623145","623146","15","13","623643","2","4000","623146","623645","623645","15","12","627642","-12","3200","623646","630830","630830","0",628642,1,1000,"1","1","1","12","630842","2","800","630830","630844","630844","14","12","631642","-12","2400","630844","634030","634030","0",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","0","2","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","2400","2","11","634041","2","800","634032","634043","634044","13","11",634841,"2","300","634044","634843","634843","13","11","635141","2","500","634843","635143","635144","13","11","635641","2","4000","635144","635643","635643","13","10","639640","-10","3200","635644","642830","642830","0",640682,1,1042,"2","2","1","10","642840","2","800","642830","642842","642842","12","10","643640","-10","2400","642843","646030","646030","0",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H5","Odd","Consonant","Congruent","Attend Number","2","2","?","?","1","0","?","?","Red","Black","Black","NonIncentive","0","3","4400","X","3600","2","9","646039","3","800","646031","646042","646042","12","9",646839,"2","300","646042","646841","646841","11","9","647139","2","500","646841","647141","647142","11","9","647639","2","4000","647142","647641","647642","11","9","651639","-9","3200","647642","654830","654830","0",652962,1,1323,"2","2","1","8","654838","2","800","654830","654840","654840","10","8","655638","-8","3600","654841","659230","659230","0",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4D","Even","Consonant","Incongruent","Attend Number","1","2","?","?","0","1","?","?","Red","Black","Green","NonIncentive","1","3","4400","X","3600","1","24","659254","2","800","659232","659256","659256","26","7",660037,"2","300","659257","660039","660039","9","7","660337","2","500","660039","660339","660340","9","7","660837","2","4000","660340","660839","660840","9","6","664836","-6","3200","660840","668030","668030","0",666451,1,1615,"1","1","1","23","668053","2","800","668030","668055","668055","25","6","668836","-6","3600","668055","672430","672430","0",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Number","2","2","?","?","0","0","?","?","Red","Black","Black","NonIncentive","0","1","2000","X","1200","2","22","672452","2","800","672432","672454","672454","24","5",673235,"2","300","672454","673237","673237","7","5","673535","2","500","673237","673537","673538","7","5","674035","2","4000","673538","674037","674038","7","4","678034","-4","3200","674038","681230","681230","0",679278,1,1244,"2","2","1","20","681250","3","800","681230","681253","681253","23","4","682034","-4","1200","681253","683230","683230","0",NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A","Even","Vowel","Congruent","Attend Number","1","1","?","?","0","0","?","?","Red","Black","Black","NonIncentive","0","1","2000","X","1200","1","20","683250","2","800","683232","683252","683253","22","3",684033,"2","300","683253","684035","684035","5","3","684333","2","500","684036","684335","684336","5","3","684833","2","4000","684336","684835","684836","5","3","688833","-3","3200","684836","692030","692030","0",690104,1,1271,"1","1","1","19","692049","2","800","692030","692051","692051","21","2","692832","-2","1200","692051","694030","694030","0",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6I","Even","Vowel","Congruent","Attend Letter","1","1","?","?","1","0","?","?","Red","Black","Black","NonIncentive","0","3","4400","X","3600","1","18","694048","3","800","694031","694051","694051","21","2",694832,"1","300","694051","694833","694834","3","2","695132","2","500","694834","695134","695134","4","2","695632","2","4000","695134","695634","695634","4","1","699631","-1","3200","695635","702830","702830","0",701441,1,1810,"1","1","1","17","702847","2","800","702830","702849","702850","19","0","703630","0","3600","702850","707230","707230","0",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","Even","Vowel","Congruent","Attend Letter","1","1","?","?","0","1","?","?","Red","Black","Black","NonIncentive","0","1","2000","X","1200","1","16","707246","2","800","707232","707248","707249","18","0",708030,"1","300","707249","708031","708031","1","0","708330","2","500","708032","708332","708332","2","16","708846","2","4000","708332","708848","708849","18","15","712845","-15","3200","708849","716030","716030","0",714330,1,1485,"1","1","1","15","716045","2","800","716030","716047","716047","17","15","716845","-15","1200","716048","718030","718030","0",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6I","Even","Vowel","Congruent","Attend Number","1","1","?","?","1","0","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","2400","1","15","718045","2","800","718031","718047","718047","17","15",718845,"1","300","718047","718846","718846","16","15","719145","2","500","718847","719147","719147","17","14","719644","3","4000","719147","719647","719647","17","14","723644","-14","3200","719647","726830","726830","0",725292,1,1648,"1","1","1","13","726843","2","800","726830","726845","726846","15","13","727643","-13","2400","726846","730030","730030","0",NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","Odd","Consonant","Congruent","Attend Number","2","2","?","?","0","1","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","2400","2","13","730043","2","800","730032","730045","730045","15","13",730843,"1","300","730045","730844","730844","14","13","731143","2","500","730845","731145","731145","15","13","731643","2","4000","731145","731645","731645","15","12","735642","-12","3200","731646","738830","738830","0",737308,1,1666,"2","2","1","11","738841","3","800","738830","738844","738844","14","11","739641","-11","2400","738844","742030","742030","0",NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3E","Odd","Vowel","Incongruent","Attend Letter","2","1","?","?","1","0","?","?","Red","Black","Green","NonIncentive","1","3","4400","X","3600","1","11","742041","2","800","742032","742043","742043","13","11",742841,"1","300","742044","742842","742843","12","11","743141","2","500","742843","743143","743143","13","11","743641","2","4000","743143","743643","743643","13","10","747640","-10","3200","743644","750830","750830","0",749178,1,1538,"1","1","1","9","750839","3","800","750830","750842","750842","12","9","751639","-9","3600","750842","755230","755230","0",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1A","Odd","Vowel","Incongruent","Attend Number","2","1","?","?","1","1","?","?","Red","Black","Black","NonIncentive","0","1","2000","X","1200","2","9","755239","2","800","755232","755241","755241","11","9",756039,"1","300","755242","756040","756041","10","9","756339","2","500","756041","756341","756341","11","9","756839","2","4000","756341","756841","756841","11","8","760838","-8","3200","756842","764030","764030","0",763112,1,2274,"2","2","1","8","764038","2","800","764030","764040","764040","10","7","764837","-7","1200","764040","766030","766030","0",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A","Even","Vowel","Congruent","Attend Letter","1","1","?","?","1","1","?","?","Red","Black","Black","NonIncentive","0","3","4400","X","3600","1","24","766054","2","800","766032","766056","766056","26","7",766837,"2","300","766056","766839","766839","9","7","767137","2","500","766839","767139","767139","9","7","767637","2","4000","767140","767639","767639","9","6","771636","-6","3200","767640","774830","774830","0",773089,1,1453,"1","1","1","22","774852","3","800","774830","774855","774855","25","6","775636","-6","3600","774855","779230","779230","0",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4D","Even","Consonant","Incongruent","Attend Letter","1","2","?","?","0","1","?","?","Red","Black","Green","NonIncentive","1","2","3200","X","2400","2","22","779252","2","800","779231","779254","779254","24","5",780035,"2","300","779254","780037","780037","7","5","780335","2","500","780037","780337","780337","7","5","780835","2","4000","780337","780837","780837","7","4","784834","-4","3200","780838","788030","788030","0",786672,1,1838,"2","2","1","20","788050","2","800","788030","788052","788053","22","3","788833","-3","2400","788053","791230","791230","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","0","0","?","?","Red","Black","Black","NonIncentive","0","1","2000","X","1200","2","20","791250","2","800","791232","791252","791252","22","3",792033,"2","300","791252","792035","792035","5","3","792333","2","500","792035","792335","792335","5","3","792833","2","4000","792336","792835","792835","5","2","796832","-2","3200","792836","800030","800030","0",799043,1,2211,"2","2","1","18","800048","3","800","800030","800051","800051","21","2","800832","-2","1200","800051","802030","802030","0",NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","Even","Vowel","Congruent","Attend Number","1","1","?","?","1","0","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","2400","1","18","802048","2","800","802032","802050","802051","20","1",802831,"2","300","802051","802833","802833","3","1","803131","2","500","802833","803133","803134","3","1","803631","2","4000","803134","803633","803634","3","1","807631","-1","3200","803634","810830","810830","0",809085,1,1454,"1","1","1","17","810847","2","800","810830","810849","810849","19","0","811630","0","2400","810849","814030","814030","0",NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H5","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","1","1","?","?","Red","Black","Green","NonIncentive","1","1","2000","X","1200","2","16","814046","2","800","814032","814048","814049","18","16",814846,"2","300","814049","814848","814848","18","16","815146","2","500","814848","815148","815148","18","16","815646","2","4000","815149","815648","815648","18","15","819645","-15","3200","815649","822830","822830","0",821118,1,1473,"2","2","1","15","822845","2","800","822830","822847","822847","17","15","823645","-15","1200","822847","824830","824830","0",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","12","?","baselineBlockList","2","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3E","Odd","Vowel","Incongruent","Attend Number","2","1","?","?","1","1","?","?","Red","Black","Green","NonIncentive","1","3","4400","X","3600","2","14","824844","3","800","824832","824847","824847","17","14",825644,"2","300","824847","825646","825646","16","14","825944","2","500","825646","825946","825947","16","14","826444","2","4000","825947","826446","826447","16","14","830444","-14","3200","826447","833630","833630","0",832056,1,1612,"2","2","1","13","833643","2","800","833630","833645","833646","15","13","834443","-13","3600","833646","838030","838030","0",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,100019
"FixationOnlyPROC","baseline1","13","?","baselineBlockList","2","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","838042","2","30000","838031","838044","838045","14",100019
