"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","MiInConPro2","PRO2SamplingList","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PC50ConPro2","MiConPro2","PC50InConPro2","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"StroopTrialPROC","proactive2","14","proactiveBlockList","2","74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","Con","MI","red","red",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-72.wav","2100","28","430084","2","300","430062","430086","430086","30","11",430367,"2","300","430086","430369","430369","13","132017_proactive_StroopPro_run2_AudioRecord-72.wav","11","430667","3","100","430369","430670","430670","14","11","430767","2","2000","430671","430769","430770","13","11","432767","-11","2100","430770","434856","434856","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"FixationGetReadyPROC","proactive2","15","proactiveBlockList","2","75","27","434883","2","28400","434863","434885","434886","29","6","463262","2","1600","434886","463264","0","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PURPLE","InCon","MI","red","red","3","2","132017_proactive_StroopPro_run2_AudioRecord-73.wav","900","6","464862","2","300","463266","464864","464864","8","6",465162,"1","300","464864","465163","465164","7","132017_proactive_StroopPro_run2_AudioRecord-73.wav","6","465462","3","100","465164","465465","465465","9","6","465562","2","2000","465465","465564","465564","8","5","467561","-5","900","465564","468456","468456","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","InCon","MI","blue","blue","6","2","132017_proactive_StroopPro_run2_AudioRecord-74.wav","3300","22","468478","2","300","468471","468480","468480","24","5",468761,"2","300","468481","468763","468763","7","132017_proactive_StroopPro_run2_AudioRecord-74.wav","5","469061","3","100","468763","469064","469064","8","5","469161","2","2000","469065","469163","469164","7","5","471161","-5","3300","469164","474456","474456","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","GREEN","InCon","PC50","black","black",NA,"4","132017_proactive_StroopPro_run2_AudioRecord-75.wav","900","21","474477","2","300","474462","474479","474480","23","4",474760,"2","300","474480","474762","474762","6","132017_proactive_StroopPro_run2_AudioRecord-75.wav","4","475060","3","100","474762","475063","475063","7","4","475160","2","2000","475064","475162","475163","6","4","477160","-4","900","475163","478056","478056","0",NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PURPLE","InCon","MI","white","white","9","2","132017_proactive_StroopPro_run2_AudioRecord-76.wav","900","20","478076","3","300","478069","478079","478079","23","4",478360,"1","300","478079","478361","478361","5","132017_proactive_StroopPro_run2_AudioRecord-76.wav","3","478659","3","100","478362","478662","478663","6","3","478759","3","2000","478663","478762","478762","6","3","480759","-3","900","478762","481656","481656","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLACK","InCon","PC50","yellow","yellow",NA,"4","132017_proactive_StroopPro_run2_AudioRecord-77.wav","3300","20","481676","2","300","481668","481678","481679","22","3",481959,"2","300","481679","481961","481961","5","132017_proactive_StroopPro_run2_AudioRecord-77.wav","3","482259","3","100","481961","482262","482262","6","3","482359","2","2000","482262","482361","482361","5","3","484359","-3","3300","482362","487656","487656","0",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","RED","Con","MI","red","red",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-78.wav","3300","19","487675","2","300","487663","487677","487678","21","2",487958,"2","300","487678","487960","487960","4","132017_proactive_StroopPro_run2_AudioRecord-78.wav","2","488258","3","100","487960","488261","488261","5","2","488358","2","2000","488261","488360","488360","4","2","490358","-2","3300","488361","493656","493656","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLACK","InCon","PC50","pink","255,105,180",NA,"4","132017_proactive_StroopPro_run2_AudioRecord-79.wav","900","18","493674","2","300","493663","493676","493677","20","1",493957,"2","300","493677","493959","493959","3","132017_proactive_StroopPro_run2_AudioRecord-79.wav","1","494257","3","100","493959","494260","494260","4","1","494357","2","2000","494260","494359","494359","3","1","496357","-1","900","494360","497256","497256","0",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","InCon","MI","white","white","9","2","132017_proactive_StroopPro_run2_AudioRecord-80.wav","3300","17","497273","3","300","497266","497276","497276","20","0",497556,"2","300","497276","497558","497558","2","132017_proactive_StroopPro_run2_AudioRecord-80.wav","0","497856","3","100","497559","497859","497860","3","0","497956","3","2000","497860","497959","497959","3","0","499956","0","3300","497959","503256","503256","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","YELLOW","Con","PC50","yellow","yellow",NA,"3","132017_proactive_StroopPro_run2_AudioRecord-81.wav","2100","16","503272","3","300","503262","503275","503275","19","0",503556,"1","300","503275","503557","503557","1","132017_proactive_StroopPro_run2_AudioRecord-81.wav","16","503872","3","100","503558","503875","503875","19","16","503972","2","2000","503876","503974","503975","18","16","505972","-16","2100","503975","508056","508056","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PINK","InCon","PC50","green","green",NA,"4","132017_proactive_StroopPro_run2_AudioRecord-82.wav","2100","16","508072","2","300","508062","508074","508074","18","15",508371,"2","300","508074","508373","508373","17","132017_proactive_StroopPro_run2_AudioRecord-82.wav","15","508671","3","100","508374","508674","508675","18","15","508771","3","2000","508675","508774","508774","18","15","510771","-15","2100","508774","512856","512856","0",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PINK","Con","PC50","pink","255,105,180",NA,"3","132017_proactive_StroopPro_run2_AudioRecord-83.wav","2100","15","512871","2","300","512862","512873","512874","17","15",513171,"1","300","512874","513172","513173","16","132017_proactive_StroopPro_run2_AudioRecord-83.wav","15","513471","2","100","513173","513473","513474","17","15","513571","2","2000","513474","513573","513573","17","14","515570","-14","2100","513573","517656","517656","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","InCon","MI","red","red","1","2","132017_proactive_StroopPro_run2_AudioRecord-84.wav","2100","14","517670","2","300","517662","517672","517673","16","14",517970,"2","300","517673","517972","517972","16","132017_proactive_StroopPro_run2_AudioRecord-84.wav","14","518270","3","100","517972","518273","518273","17","14","518370","2","2000","518273","518372","518373","16","14","520370","-14","2100","518373","522456","522456","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","WHITE","InCon","MI","red","red","2","2","132017_proactive_StroopPro_run2_AudioRecord-85.wav","900","14","522470","2","300","522462","522472","522472","16","13",522769,"2","300","522472","522771","522771","15","132017_proactive_StroopPro_run2_AudioRecord-85.wav","13","523069","3","100","522772","523072","523072","16","13","523169","2","2000","523073","523171","523172","15","13","525169","-13","900","523172","526056","526056","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","WHITE","Con","MI","white","white",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-86.wav","3300","63","526119","2","300","526099","526121","526122","65","13",526369,"1","300","526122","526370","526370","14","132017_proactive_StroopPro_run2_AudioRecord-86.wav","13","526669","2","100","526371","526671","526672","15","13","526769","2","2000","526672","526771","526771","15","12","528768","-12","3300","526772","532056","532056","0",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","InCon","MI","red","red","1","2","132017_proactive_StroopPro_run2_AudioRecord-87.wav","3300","28","532084","2","300","532062","532086","532087","30","12",532368,"1","300","532087","532369","532370","13","132017_proactive_StroopPro_run2_AudioRecord-87.wav","12","532668","2","100","532370","532670","532671","14","12","532768","2","2000","532671","532770","532770","14","11","534767","-11","3300","532771","538056","538056","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","RED","InCon","MI","white","white","7","2","132017_proactive_StroopPro_run2_AudioRecord-88.wav","3300","27","538083","3","300","538062","538086","538086","30","11",538367,"1","300","538086","538368","538369","12","132017_proactive_StroopPro_run2_AudioRecord-88.wav","11","538667","2","100","538369","538669","538670","13","11","538767","2","2000","538670","538769","538769","13","10","540766","-10","3300","538769","544056","544056","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","InCon","MI","purple","purple","11","2","132017_proactive_StroopPro_run2_AudioRecord-89.wav","3300","26","544082","3","300","544062","544085","544085","29","10",544366,"1","300","544085","544367","544368","11","132017_proactive_StroopPro_run2_AudioRecord-89.wav","10","544666","3","100","544368","544669","544669","13","10","544766","2","2000","544669","544768","544768","12","9","546765","-9","3300","544769","550056","550056","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PINK","InCon","PC50","yellow","yellow",NA,"4","132017_proactive_StroopPro_run2_AudioRecord-90.wav","900","26","550082","2","300","550062","550084","550084","28","9",550365,"1","300","550084","550366","550367","10","132017_proactive_StroopPro_run2_AudioRecord-90.wav","9","550665","3","100","550367","550668","550668","12","9","550765","2","2000","550668","550767","550767","11","8","552764","-8","900","550767","553656","553656","0",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","Con","MI","red","red",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-91.wav","2100","25","553681","2","300","553664","553683","553683","27","8",553964,"2","300","553684","553966","553966","10","132017_proactive_StroopPro_run2_AudioRecord-91.wav","8","554264","3","100","553966","554267","554267","11","8","554364","2","2000","554268","554366","554367","10","8","556364","-8","2100","554367","558456","558456","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","InCon","MI","blue","blue","4","2","132017_proactive_StroopPro_run2_AudioRecord-92.wav","900","24","558480","2","300","558463","558482","558483","26","7",558763,"2","300","558483","558765","558765","9","132017_proactive_StroopPro_run2_AudioRecord-92.wav","7","559063","3","100","558766","559066","559067","10","7","559163","3","2000","559067","559166","559166","10","7","561163","-7","900","559166","562056","562056","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","Con","MI","purple","purple",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-93.wav","2100","24","562080","2","300","562072","562082","562082","26","7",562363,"2","300","562083","562365","562365","9","132017_proactive_StroopPro_run2_AudioRecord-93.wav","7","562663","3","100","562365","562666","562666","10","7","562763","2","2000","562666","562765","562765","9","7","564763","-7","2100","562766","566856","566856","0",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","InCon","MI","purple","purple","11","2","132017_proactive_StroopPro_run2_AudioRecord-94.wav","900","23","566879","2","300","566863","566881","566881","25","6",567162,"2","300","566882","567164","567164","8","132017_proactive_StroopPro_run2_AudioRecord-94.wav","6","567462","3","100","567164","567465","567465","9","6","567562","2","2000","567466","567564","567565","8","6","569562","-6","900","567565","570456","570456","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","YELLOW","InCon","PC50","green","green",NA,"4","132017_proactive_StroopPro_run2_AudioRecord-95.wav","2100","22","570478","3","300","570471","570481","570481","25","6",570762,"1","300","570481","570763","570764","7","132017_proactive_StroopPro_run2_AudioRecord-95.wav","6","571062","2","100","570764","571064","571065","8","6","571162","2","2000","571065","571164","571164","8","5","573161","-5","2100","571164","575256","575256","0",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","WHITE","InCon","MI","blue","blue","5","2","132017_proactive_StroopPro_run2_AudioRecord-96.wav","2100","22","575278","2","300","575263","575280","575280","24","5",575561,"1","300","575280","575562","575563","6","132017_proactive_StroopPro_run2_AudioRecord-96.wav","5","575861","3","100","575563","575864","575864","8","5","575961","2","2000","575864","575963","575963","7","4","577960","-4","2100","575963","580056","580056","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","WHITE","Con","MI","white","white",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-97.wav","900","21","580077","2","300","580062","580079","580079","23","4",580360,"2","300","580079","580362","580362","6","132017_proactive_StroopPro_run2_AudioRecord-97.wav","4","580660","3","100","580362","580663","580663","7","4","580760","2","2000","580663","580762","580762","6","4","582760","-4","900","580763","583656","583656","0",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLACK","Con","PC50","black","black",NA,"3","132017_proactive_StroopPro_run2_AudioRecord-98.wav","3300","70","583726","2","300","583704","583728","583729","72","3",583959,"2","300","583729","583961","583962","5","132017_proactive_StroopPro_run2_AudioRecord-98.wav","3","584259","3","100","583962","584262","584263","6","3","584359","3","2000","584263","584362","584362","6","3","586359","-3","3300","584362","589656","589656","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","InCon","MI","white","white","7","2","132017_proactive_StroopPro_run2_AudioRecord-99.wav","2100","19","589675","3","300","589663","589678","589678","22","3",589959,"1","300","589678","589960","589960","4","132017_proactive_StroopPro_run2_AudioRecord-99.wav","3","590259","2","100","589961","590261","590262","5","2","590358","3","2000","590262","590361","590361","5","2","592358","-2","2100","590361","594456","594456","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","RED","InCon","MI","purple","purple","10","2","132017_proactive_StroopPro_run2_AudioRecord-100.wav","3300","19","594475","2","300","594463","594477","594477","21","2",594758,"1","300","594478","594759","594760","3","132017_proactive_StroopPro_run2_AudioRecord-100.wav","2","595058","3","100","594760","595061","595061","5","2","595158","2","2000","595062","595160","595160","4","1","597157","-1","3300","595161","600456","600456","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","WHITE","InCon","MI","blue","blue","5","2","132017_proactive_StroopPro_run2_AudioRecord-101.wav","3300","18","600474","2","300","600462","600476","600476","20","1",600757,"1","300","600477","600758","600759","2","132017_proactive_StroopPro_run2_AudioRecord-101.wav","1","601057","3","100","600759","601060","601060","4","1","601157","2","2000","601060","601159","601159","3","0","603156","0","3300","601160","606456","606456","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","InCon","MI","red","red","3","2","132017_proactive_StroopPro_run2_AudioRecord-102.wav","2100","17","606473","2","300","606463","606475","606475","19","0",606756,"2","300","606476","606758","606758","2","132017_proactive_StroopPro_run2_AudioRecord-102.wav","0","607056","3","100","606758","607059","607060","3","0","607156","2","2000","607060","607158","607159","2","16","609172","-16","2100","607159","611256","611256","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLACK","Con","PC50","black","black",NA,"3","132017_proactive_StroopPro_run2_AudioRecord-103.wav","2100","16","611272","2","300","611262","611274","611275","18","16",611572,"1","300","611275","611573","611574","17","132017_proactive_StroopPro_run2_AudioRecord-103.wav","16","611872","3","100","611574","611875","611875","19","16","611972","2","2000","611875","611974","611974","18","15","613971","-15","2100","611975","616056","616056","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","InCon","MI","white","white","8","2","132017_proactive_StroopPro_run2_AudioRecord-104.wav","2100","15","616071","3","300","616063","616074","616074","18","15",616371,"2","300","616074","616373","616373","17","132017_proactive_StroopPro_run2_AudioRecord-104.wav","15","616671","3","100","616373","616674","616674","18","15","616771","2","2000","616674","616773","616773","17","15","618771","-15","2100","616774","620856","620856","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","Con","MI","blue","blue",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-105.wav","900","14","620870","3","300","620863","620873","620873","17","14",621170,"2","300","620873","621172","621172","16","132017_proactive_StroopPro_run2_AudioRecord-105.wav","14","621470","3","100","621172","621473","621473","17","14","621570","2","2000","621474","621572","621573","16","14","623570","-14","900","621573","624456","624456","0",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","WHITE","InCon","MI","purple","purple","12","2","132017_proactive_StroopPro_run2_AudioRecord-106.wav","900","30","624486","2","300","624469","624488","624489","32","14",624770,"1","300","624489","624771","624772","15","132017_proactive_StroopPro_run2_AudioRecord-106.wav","14","625070","2","100","624772","625072","625073","16","14","625170","2","2000","625073","625172","625172","16","13","627169","-13","900","625172","628056","628056","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","GREEN","Con","PC50","green","green",NA,"3","132017_proactive_StroopPro_run2_AudioRecord-107.wav","900","30","628086","2","300","628069","628088","628088","32","13",628369,"2","300","628088","628371","628371","15","132017_proactive_StroopPro_run2_AudioRecord-107.wav","13","628669","3","100","628371","628672","628672","16","13","628769","2","2000","628673","628771","628772","15","13","630769","-13","900","628772","631656","631656","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PINK","Con","PC50","pink","255,105,180",NA,"3","132017_proactive_StroopPro_run2_AudioRecord-108.wav","3300","29","631685","2","300","631668","631687","631688","31","13",631969,"1","300","631688","631970","631970","14","132017_proactive_StroopPro_run2_AudioRecord-108.wav","13","632269","2","100","631971","632271","632272","15","13","632369","2","2000","632272","632371","632371","15","12","634368","-12","3300","632371","637656","637656","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"FixationOnlyPROC","proactive2","17","proactiveBlockList","2","112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","637684","2","30000","637662","637686","637687","30",NA,NA,NA,29252
"PausePROC","proactive2","18","proactiveBlockList","2","113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","667663","637688",29252
